25,1,127,142,63946,71,126,5,184,9042,17
36,63,70,216,80,73,151,138,252,28635,6
181,175,235,132,80,71,215,84,77,47503,6
232,60,178,117,80,141,147,142,213,4858,6
181,175,235,132,80,71,215,84,77,47503,6
36,63,70,216,80,73,151,138,252,28635,6
72,83,170,116,4500,48,3,148,118,4500,17
133,45,240,235,51232,211,231,171,101,80,6
181,175,235,132,80,71,215,84,77,47503,6
232,60,178,117,80,141,147,142,213,4858,6
36,63,107,175,32917,75,179,215,186,9043,17
130,91,77,192,58300,211,231,164,53,80,6
181,175,235,132,80,71,215,84,77,47503,6
36,63,70,216,80,73,151,138,252,28635,6
73,97,71,233,80,41,83,172,63,23083,6
181,175,235,132,80,71,215,84,77,47503,6
154,110,10,253,23891,71,85,125,213,80,6
219,126,173,146,53887,58,57,201,104,80,6
36,63,70,216,80,73,151,138,252,28635,6
219,1,170,180,45581,0,217,206,147,52284,6
219,1,170,180,45581,0,217,206,147,52284,6
219,1,170,180,45581,0,217,206,147,52284,6
181,175,235,132,80,71,215,84,77,47503,6
222,26,169,84,16001,211,231,175,69,8207,17
232,60,178,111,443,142,84,193,204,19127,6
181,175,235,132,80,71,215,84,77,47503,6
181,175,235,132,80,71,215,84,77,47503,6
181,175,235,132,80,71,215,84,77,47503,6
181,175,234,65,63673,199,174,53,50,80,6
36,63,70,216,80,73,151,138,252,28635,6
95,165,42,218,49876,71,85,125,213,80,6
95,165,42,218,49876,71,85,125,213,80,6
36,63,70,216,80,73,151,138,252,28635,6
218,37,69,220,443,92,249,0,98,50017,6
73,168,180,142,80,80,49,215,26,45748,6
92,71,197,151,1935,231,120,155,24,54344,6
181,175,235,132,80,71,215,84,77,47503,6
128,10,129,106,33021,71,126,5,176,9042,17
36,63,70,216,80,73,151,138,252,28635,6
181,175,235,132,80,71,215,84,77,47503,6
83,91,98,74,53306,211,231,161,79,8081,6
218,37,69,220,443,92,249,0,98,50017,6
181,175,235,132,80,71,215,84,77,47503,6
36,63,70,216,80,73,151,138,252,28635,6
232,60,179,123,80,156,178,53,138,1833,6
181,175,235,132,80,71,215,84,77,47503,6
58,57,44,139,3497,148,186,0,148,16402,17
232,60,179,123,80,156,178,53,138,1833,6
137,230,161,31,55147,181,0,154,85,465,6
36,99,180,91,49159,92,52,238,178,443,6
232,60,179,123,80,156,178,53,138,1833,6
232,60,179,123,80,156,178,53,138,1833,6
36,63,70,216,80,73,151,138,252,28635,6
43,206,69,106,3451,211,231,170,42,80,6
232,60,179,123,80,156,178,53,138,1833,6
232,60,179,123,80,156,178,53,138,1833,6
232,60,179,123,80,156,178,53,138,1833,6
181,175,235,132,80,71,215,84,77,47503,6
232,60,179,123,80,156,178,53,138,1833,6
43,206,69,106,3451,211,231,170,42,80,6
70,17,103,10,34410,179,64,36,68,32330,17
181,175,235,132,80,71,215,84,77,47503,6
36,63,70,216,80,73,151,138,252,28635,6
137,247,165,116,20156,64,7,176,37,53,17
181,175,235,132,80,71,215,84,77,47503,6
180,238,47,116,443,138,154,165,228,49329,6
138,24,100,25,43738,73,151,139,181,443,6
36,63,70,216,80,73,151,138,252,28635,6
43,249,222,188,63853,211,231,171,101,80,6
181,175,235,132,80,71,215,84,77,47503,6
181,175,235,132,80,71,215,84,77,47503,6
36,63,70,216,80,73,151,138,252,28635,6
83,91,98,74,53306,211,231,161,79,8081,6
83,91,98,74,53306,211,231,161,79,8081,6
181,175,235,132,80,71,215,84,77,47503,6
76,74,129,251,16954,71,231,207,64,80,6
36,63,70,216,80,73,151,138,252,28635,6
181,175,235,132,80,71,215,84,77,47503,6
72,83,170,116,4500,48,3,148,118,4500,17
83,159,91,154,1214,36,225,47,154,8080,6
72,83,170,116,4500,48,3,148,118,4500,17
191,235,250,231,60794,162,59,10,143,53,17
191,120,12,175,62258,232,35,9,3,1485,17
181,175,235,132,80,71,215,84,77,47503,6
153,231,134,73,80,14,17,144,76,51635,6
36,63,70,216,80,73,151,138,252,28635,6
181,175,235,132,80,71,215,84,77,47503,6
181,175,235,132,80,71,215,84,77,47503,6
36,63,70,216,80,73,151,138,252,28635,6
181,175,235,132,80,71,215,84,77,47503,6
181,175,235,132,80,71,215,84,77,47503,6
36,63,70,216,80,73,151,138,252,28635,6
181,175,235,132,80,71,215,84,77,47503,6
232,60,179,146,80,142,73,39,14,10695,6
181,175,235,132,80,71,215,84,77,47503,6
130,110,214,216,4537,74,116,201,200,80,6
180,238,47,116,443,138,154,165,228,49267,6
180,238,47,116,443,138,154,165,228,49267,6
180,238,47,116,443,138,154,165,228,49267,6
138,24,100,25,43738,73,151,139,181,443,6
73,168,180,142,80,191,235,251,179,34698,6
36,63,70,216,80,73,151,138,252,28635,6
232,60,179,146,80,142,73,39,14,10695,6
73,168,180,142,80,191,235,251,179,34698,6
73,168,180,142,80,191,235,251,179,34698,6
80,96,60,218,16475,39,110,122,51,51198,17
181,175,235,132,80,71,215,84,77,47503,6
73,168,180,142,80,191,235,251,179,34698,6
218,204,36,184,50710,36,225,197,138,80,6
181,175,235,132,80,71,215,84,77,47503,6
135,198,94,93,1172,36,225,92,122,443,17
232,60,179,146,80,142,73,39,14,10695,6
181,175,235,132,80,71,215,84,77,47503,6
72,83,170,116,4500,48,3,148,118,4500,17
130,17,195,201,62459,211,231,161,79,8081,6
181,175,235,132,80,71,215,84,77,47503,6
58,57,45,159,35182,75,179,215,144,9042,17
153,231,134,73,80,14,17,144,76,51635,6
58,57,179,213,80,232,56,227,14,50599,6
181,175,235,132,80,71,215,84,77,47503,6
43,173,249,203,54208,148,163,60,134,80,6
132,176,34,155,4437,73,42,94,163,25,6
181,175,235,132,80,71,215,84,77,47503,6
43,173,249,203,54208,148,163,60,134,80,6
181,175,235,132,80,71,215,84,77,47503,6
138,82,153,231,80,232,65,98,190,54858,6
181,175,235,132,80,71,215,84,77,47503,6
181,175,235,132,80,71,215,84,77,47503,6
229,127,219,213,40019,50,19,161,245,8080,6
229,127,219,213,40019,50,19,161,245,8080,6
138,82,153,231,80,232,65,98,190,54858,6
73,187,41,247,80,4,3,1,21,49864,6
138,82,153,231,80,232,65,98,190,54858,6
140,192,202,69,60111,211,231,170,42,80,6
140,192,202,69,60111,211,231,170,42,80,6
218,57,166,66,38133,211,231,170,221,80,6
181,175,235,132,80,71,215,84,77,47743,6
73,187,41,247,80,4,3,1,21,49864,6
129,127,234,24,53696,211,231,171,101,80,6
129,127,234,24,53696,211,231,171,101,80,6
36,3,67,168,80,142,91,116,28,3949,6
209,2,245,104,61541,211,231,175,252,80,6
138,82,153,231,80,232,65,98,190,54858,6
73,187,41,247,80,4,3,1,21,49864,6
80,96,48,125,57620,39,110,196,167,18405,6
